specimen_id,country,unique_countries,specimen_count
cicindelidae_34_6_12_tray_05_spec_015,Brazil,,
cicindelidae_34_6_12_tray_05_spec_016,Brazil,,
cicindelidae_34_6_12_tray_05_spec_017,Brazil,,
cicindelidae_34_6_12_tray_05_spec_018,Brazil,,
cicindelidae_34_6_12_tray_05_spec_019,Brazil,,
cicindelidae_34_6_12_tray_05_spec_020,Brazil,,
cicindelidae_34_6_12_tray_05_spec_021,Brazil,,
cicindelidae_34_6_12_tray_05_spec_022,Brazil,,
cicindelidae_34_6_12_tray_05_spec_023,Brazil,,
cicindelidae_34_6_12_tray_05_spec_024,Brazil,,
cicindelidae_34_6_12_tray_05_spec_025,Brazil,,
cicindelidae_34_6_12_tray_05_spec_026,Brazil,,
cicindelidae_34_6_12_tray_05_spec_027,Brazil,,
cicindelidae_34_6_12_tray_05_spec_028,Brazil,,
cicindelidae_34_6_12_tray_05_spec_029,Brazil,,
cicindelidae_34_6_12_tray_05_spec_030,Brazil,,
cicindelidae_34_6_12_tray_05_spec_031,Brazil,,
cicindelidae_34_6_12_tray_05_spec_032,Brazil,,
cicindelidae_34_6_12_tray_05_spec_033,Brazil,,
cicindelidae_34_6_12_tray_05_spec_034,Brazil,,
cicindelidae_34_6_12_tray_05_spec_035,Brazil,,
cicindelidae_34_6_12_tray_05_spec_036,Brazil,,
cicindelidae_34_6_12_tray_05_spec_037,Brazil,,
cicindelidae_34_6_12_tray_05_spec_038,Brazil,,
cicindelidae_34_6_12_tray_05_spec_039,Brazil,,
cicindelidae_34_6_12_tray_05_spec_040,Brazil,,
cicindelidae_34_6_12_tray_05_spec_041,Brazil,,
cicindelidae_34_6_12_tray_05_spec_042,Brazil,,
cicindelidae_34_6_12_tray_05_spec_043,Brazil,,
cicindelidae_34_6_12_tray_05_spec_044,Brazil,,
cicindelidae_34_6_12_tray_05_spec_045,Brazil,,
cicindelidae_34_6_12_tray_07_spec_001,Brazil,,
cicindelidae_34_6_12_tray_07_spec_002,Brazil,,
cicindelidae_34_6_12_tray_07_spec_003,Brazil,,
cicindelidae_34_6_12_tray_07_spec_004,Brazil,,
cicindelidae_34_6_12_tray_07_spec_008,Brazil,,
cicindelidae_34_6_12_tray_07_spec_010,Brazil,,
cicindelidae_34_6_12_tray_07_spec_011,Brazil,,
cicindelidae_34_6_12_tray_07_spec_012,Brazil,,
cicindelidae_34_6_12_tray_07_spec_013,Brazil,,
cicindelidae_34_6_12_tray_07_spec_014,Brazil,,
cicindelidae_34_6_12_tray_07_spec_015,Brazil,,
cicindelidae_34_6_12_tray_07_spec_019,Brazil,,
cicindelidae_34_6_12_tray_07_spec_020,Brazil,,
cicindelidae_34_6_12_tray_07_spec_023,Brazil,,
cicindelidae_34_6_12_tray_07_spec_024,Brazil,,
cicindelidae_34_6_12_tray_07_spec_025,Brazil,,
